scope_level,scope_code,gl_account_code,gl_account_description,cost_center
segment,10,6100-ITHARDWAR,IT Hardware Expense,
segment,11,6110-ITSOFTWAR,IT Software & Services Expense,
segment,12,6120-OFFICESUP,Office Supplies Expense,
segment,13,6130-FURNITURE,Furniture Expense,
segment,14,6140-FACILITIES,Facilities & Maintenance Expense,
segment,15,6150-PROFESSION,Professional Services - Consulting Expense,
segment,16,6160-PROFESSION,Professional Services - Legal Expense,
segment,17,6170-MARKETING,Marketing Services Expense,
segment,18,6180-TRAVEL&L,Travel & Lodging Expense,
segment,19,6190-RAWMATERI,Raw Materials - Metals Expense,
segment,20,6200-RAWMATERI,Raw Materials - Chemicals Expense,
segment,21,6210-PACKAGING,Packaging Expense,
segment,22,6220-LOGISTICS,Logistics & Freight Expense,
segment,23,6230-TELECOMSE,Telecom Services Expense,
segment,24,6240-UTILITIES,Utilities Expense,
segment,25,6250-MRO&INDU,MRO & Industrial Supplies Expense,
segment,26,6260-MEDICAL&,Medical & Lab Supplies Expense,
segment,27,6270-FOOD&CAT,Food & Catering Expense,
segment,28,6280-PRINT&PU,Print & Publications Expense,
segment,29,6290-CONSTRUCTI,Construction Materials Expense,
